Node,U2,Normal Stress,Von-Mises Stress
1.835998535,-0.029759092,-9028625,9029176
1.838001251,-0.029809039,-8917036,8917592
1.840000153,-0.029858897,-8805536,8806099
1.841999054,-0.02990876,-8694072,8694642
1.84400177,-0.029958727,-8582591,8583167
1.846000671,-0.030008605,-8471199,8471782
1.847999573,-0.03005849,-8359894.5,8360484.5
1.849998474,-0.030108383,-8248572,8249169
1.85200119,-0.030158378,-8137232,8137837
1.854000092,-0.030208284,-8025981,8026593
1.855998993,-0.030258197,-7914765,7915385
1.858001709,-0.030308211,-7803531,7804159
1.86000061,-0.030358138,-7692386,7693022
1.861999512,-0.030408069,-7581329,7581973
1.863998413,-0.030458009,-7470254,7470907
1.866001129,-0.030508049,-7359161.5,7359823.5
1.868000031,-0.030557999,-7248157.5,7248829
1.869998932,-0.030607957,-7137188,7137869
1.872001648,-0.030658014,-7026202,7026892.5
1.874000549,-0.030707983,-6915302.5,6916003
1.875999451,-0.030757962,-6804489,6805200
1.877998352,-0.030807942,-6693660,6694382
1.880001068,-0.030858023,-6582815.5,6583548
1.881999969,-0.030908015,-6472059,6472803
1.883998871,-0.03095801,-6361337,6362093
1.886001587,-0.031008108,-6250598,6251366.5
1.888000488,-0.031058116,-6139947,6140728
1.88999939,-0.031108128,-6029383.5,6030178
1.891998291,-0.031158146,-5918803,5919611
1.894001007,-0.031208262,-5808205,5809028
1.895999908,-0.031258289,-5697695.5,5698533
1.89799881,-0.031308323,-5587221,5588074
1.900001526,-0.031358454,-5476729,5477598
1.902000427,-0.031408492,-5366325.5,5367211
1.903999329,-0.031458538,-5256009,5256912
1.90599823,-0.031508591,-5145676,5146597
1.908000946,-0.031558741,-5035325,5036264
1.909999847,-0.031608798,-4925062,4926022
1.911998749,-0.031658862,-4814833,4815812
1.914001465,-0.031709023,-4704585,4705587.5
1.916000366,-0.031759094,-4594426.5,4595450
1.917999268,-0.03180917,-4484356,4485405
1.919998169,-0.031859249,-4374268,4375340
1.922000885,-0.031909425,-4264163,4265263
1.923999786,-0.031959508,-4154145.25,4155270
1.925998688,-0.032009598,-4044161.75,4045318.75
1.928001404,-0.032059785,-3934160,3935344.5
1.930000305,-0.032109879,-3824245.25,3825466
1.931999207,-0.03215998,-3714416.5,3715667
1.933998108,-0.032210082,-3604569.75,3605861.5
1.936000824,-0.03226028,-3494705,3496029.5
1.937999725,-0.032310389,-3384927,3386299
1.939998627,-0.032360498,-3275184,3276592.75
1.942001343,-0.032410707,-3165426,3166889
1.944000244,-0.032460824,-3055758.75,3057262.75
1.945999146,-0.03251094,-2946133.25,2947699.75
1.948001862,-0.032561157,-2836503,2838115.25
1.950000763,-0.032611281,-2726984,2728668.5
1.951999664,-0.032661408,-2617588.5,2619324
1.953998566,-0.032711536,-2508231,2510049
1.956001282,-0.03276176,-2398937.5,2400811.75
1.958000183,-0.032811891,-2289850.5,2291819
1.959999084,-0.032862023,-2180969.5,2182997.5
1.962001801,-0.032912254,-2072314.375,2074448
1.964000702,-0.032962393,-1964084.75,1966275.25
1.965999603,-0.033012528,-1856407.25,1858712.5
1.967998505,-0.03306267,-1749350.5,1751699.25
1.970001221,-0.033112906,-1643131.75,1645599.25
1.972000122,-0.033163048,-1538137.75,1540610.25
1.973999023,-0.033213194,-1434670.75,1437256.75
1.97600174,-0.033263434,-1333135.75,1335643.5
1.978000641,-0.03331358,-1234159.5,1236767.25
1.979999542,-0.03336373,-1138416.375,1140781.625
1.981998444,-0.033413876,-1046538.375,1048999.625
1.98400116,-0.033464123,-959431.75,961354
1.986000061,-0.033514272,-877945.25,880101.375
1.987998962,-0.033564426,-802982.4375,804105.125
1.990001678,-0.033614673,-734418.25,736630.75
1.99200058,-0.033664826,-672204.9375,672518.875
1.993999481,-0.033714984,-609947.8125,616682.625
1.995998383,-0.033765141,-539900.375,542940.5
1.998001099,-0.033815399,-368426.2188,532558.8125
2,-0.033865575,-234070.6875,575215.3125
